Model,Accuracy,AUC,Precision,Recall,F1,MCC
Logistic Regression,0.6796666666666666,0.7081149369197677,0.7556314951508911,0.6796666666666666,0.7033343884639058,0.2717651199627471
Decision Tree,0.724,0.7485787535733746,0.7780983086671581,0.724,0.7416896646831498,0.34099159058482426
kNN,0.8076666666666666,0.7303655287933326,0.7862500742324675,0.8076666666666666,0.7855816206299745,0.3564370055447071
Naive Bayes,0.7525,0.7249303386463403,0.7732247862205548,0.7525,0.7609871707452585,0.33862043928395225
Random Forest (Ensemble),0.7955,0.7726544334035201,0.7964430969767632,0.7955,0.7959644586417262,0.40911670294754854
Gradient Boosting,0.8185,0.7777966096501717,0.8008852483164983,0.8185,0.7971243028359327,0.39514712295212706
